Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
22_09_04 06:36:48.411;23;I;2;1;4216;66;;c604c40421059a04ad041504edff0000230000000000030003000300030000200000341e2ef10000f44a1463cb040809587d2219f90ef54a1463f0f000001f00441e
22_09_04 07:25:29.005;23;I;2;1;4216;66;;dd1487141515020001009100300000001e0000000000020001000200020001200000d41e42700000de52146363040b0a767b20050f0edf521463267000001f00f81e
22_09_04 07:25:58.999;23;I;2;1;4216;66;;b6136d141f15020001008e002f0000001b0000000000020002000200020001200000d01e60700000fc52146363040b0a6f7c20040f0efd521463447000001e00f81e
22_09_04 08:52:34.306;23;I;2;1;4216;66;;0a153815ab14020001000000e9ff00001e0000000000ffffffffffffffff01200000d01eac8400004867146363040706515720060f0e486714638a8400001e00f81e
22_09_04 08:53:04.349;23;I;2;1;4216;66;;b1142815ef14020001009400320000001c00000000000000ffff0000ffff01200000e41eca8400006667146363040706656620060f0e66671463a88400001e00ec1e
22_09_04 08:53:34.357;23;I;2;1;4216;66;;d1131915f814020001009200300000001e00000000000000ffff0000ffff01200000d01ee88400008467146363040706517520060f0e85671463c68400001e00f81e
22_09_04 08:54:04.398;23;I;2;1;4216;66;;dd14f414bf1403000100ad003d0000001d00000000000000ffff0000ffff01200000d01e06850000a267146363040807637220060f0ea3671463e48400001e00f81e
22_09_04 08:54:34.430;23;I;2;1;4216;66;;241588142414020004009f00320000001e0000000000000000000000000001200000d41e24850000c067146363040807727a20070f0ec1671463028500001e00f81e
22_09_04 08:55:04.449;23;I;2;1;4216;66;;1215d214c51402000100af003d0000001e0000000000000000000000000001200000d01e42850000de67146363040807777920060f0edf671463208500001e00f81e
22_09_04 08:55:34.490;23;I;2;1;4216;66;;8514dd143515020001009200330000001e0000000000000000000000000001200000d41e60850000fc67146363040807707820060f0efd6714633e8500001e00f81e
22_09_04 08:56:04.514;23;I;2;1;4216;66;;1114f6142415020001009200330000001e0000000000000000000000000001200000d01e7e8500001a68146363040807787d20060f0e1b6814635c8500001f00001f
22_09_04 08:56:34.557;23;I;2;1;4216;66;;e914dd141015020001009600330000001e0000000000000000000000000001200000d01e9c8500003868146363040808767b20060f0e396814637a8500001f00f81e
22_09_04 08:57:04.580;23;I;2;1;4216;66;;1015ff144f1302000100ad00360000001c0000000000000000000000000001200000d41eba8500005668146363040908797f20060f0e57681463988500001f00f81e
22_09_04 08:57:34.607;23;I;2;1;4216;66;;e914de14b11402000100aa003c0000001f0000000000000000000000000001200000d01ed88500007468146363040908687f20050f0e75681463b68500001e00f01e
22_09_04 08:58:04.646;23;I;2;1;4216;66;;f613b814ef14020001009400320000001d0000000000000000000000000001200000d01ef68500009268146363040908637d20060f0e93681463d48500001f00f81e
22_09_04 08:58:34.668;23;I;2;1;4216;66;;8e1485146f14020001009501b60000001f0000000000000000000000000001200000c81e14860000b0681463630409087a7d20050f0eb1681463f28500001f00f81e
22_09_04 09:00:04.790;23;I;2;1;4216;66;;e2149514e81402000100a700390000001e0000000000010000000100000001200000d01e6e8600000a69146363040a096a7f20050f0e0b6914634c8600001f00081f
