Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
22_08_14 23:16:59.990;1070;I;F;1;FFF1;11;;323420576169742e2e2e0a
22_08_14 23:17:03.328;1071;I;F;1;FFF1;11;;323020576169742e2e2e0a
22_08_14 23:17:05.165;1072;I;F;1;FFF1;11;;313920576169742e2e2e0a
22_08_14 23:17:05.793;1073;I;F;1;FFF1;11;;313820576169742e2e2e0a
22_08_14 23:17:06.466;1074;I;F;1;FFF1;11;;313720576169742e2e2e0a
22_08_14 23:17:07.351;1075;I;F;1;FFF1;11;;313620576169742e2e2e0a
22_08_14 23:17:08.350;1076;I;F;1;FFF1;11;;313520576169742e2e2e0a
22_08_14 23:17:09.328;1077;I;F;1;FFF1;11;;313420576169742e2e2e0a
22_08_14 23:17:10.350;1078;I;F;1;FFF1;11;;313320576169742e2e2e0a
22_08_14 23:17:11.362;1079;I;F;1;FFF1;11;;313220576169742e2e2e0a
22_08_14 23:17:12.327;1080;I;F;1;FFF1;11;;313120576169742e2e2e0a
22_08_14 23:17:13.350;1081;I;F;1;FFF1;11;;313020576169742e2e2e0a
22_08_14 23:17:15.849;1082;I;F;1;FFF1;10;;3920576169742e2e2e0a
22_08_14 23:17:16.515;1083;I;F;1;FFF1;10;;3820576169742e2e2e0a
22_08_14 23:17:17.042;1084;I;2;1;4216;66;;20137213a912da0100002b0299fe9600b20200000000fcfffcfffcfffcff01f00800441ed2d000007782f9624e041108ff782005d10e7782f96298d000001e001c1f
22_08_14 23:17:17.135;1085;I;F;1;FFF1;10;;3720576169742e2e2e0a
22_08_14 23:17:19.239;1046;O;1;4;  2A;0;ERR;
22_08_14 23:17:20.232;1088;I;1;4;  2A;0;;
22_08_14 23:17:21.323;1089;I;F;1;FFF1;10;;3220576169742e2e2e0a
22_08_14 23:17:22.356;1090;I;F;1;FFF1;10;;3120576169742e2e2e0a
22_08_14 23:17:24.541;1091;I;F;1;FFF1;23;;54696d652069732075702e2e2e0a455849540a0a0a0a0a
22_08_14 23:17:26.413;1092;I;F;1;FFF1;32;;726f6f7440535843332d323131303a2f686f6d652f70692f6d61737465722320
22_08_14 23:17:31.972;1051;O;1;4;  47;0;ERR;
22_08_14 23:17:33.724;1095;I;4;1;DE24;0;;
22_08_14 23:17:38.273;0;O;1;4;  45;0;ERR;
22_08_14 23:17:41.614;1097;O;1;4;  45;0;ERR;
22_08_14 23:17:44.557;1100;I;4;1;DE24;0;;
22_08_14 23:17:44.568;1101;I;2;1;4216;66;;8d04350ed61252049d018d01ae009600350000000000fcfffcfffcfffcff01300800a01ef0d000009582f9624e040f0a68692005d10e9582f962b6d000001f00c81e
22_08_14 23:17:46.396;0;O;1;4;  41;0;ERR;
22_08_14 23:17:48.064;1104;I;4;1;DE24;0;;
22_08_14 23:17:58.793;0;O;1;4;AAF0;0;ERR;
22_08_14 23:18:02.287;1107;I;2;1;4228;2;;033f
22_08_14 23:18:05.426;1108;I;2;1;4228;2;;033f
22_08_14 23:18:26.398;1088;O;1;2;  2A;66;ERR;0500ce82f9622a00010004000000e282f962740001000400040001003c00e782f9622a00010004000000ec82f962670a01001c000000f182f9622a00010004000000
22_08_14 23:18:29.294;1111;I;2;1; 118;2;;30f0
22_08_14 23:18:34.971;1112;I;2;1;4216;66;;f614f9153a1502000200d000530000001c0000000000fdfffcfffcfffcff01200000c41e1d000000c682f9624f140b0964792005d30ec782f9621e0000001e00f41e
22_08_14 23:18:41.916;1113;I;4;1;DE21;46;;f114a313ee0593007a00aa00690000001e00000000007dfe6afe70fe70fe01200000c81e2500000063fd945a4f14
22_08_14 23:19:00.731;1114;I;4;1;DE24;0;;
22_08_14 23:19:05.005;1115;I;2;1;4216;66;;46143c15e81502000100cd00540000001e0000000400fdfffdfffdfffdff01a00000cc1e3c000000e482f9624f140b08ff7a2005d30ee582f9623c0000001e00f81e
22_08_14 23:19:06.936;1116;I;4;1;DE21;46;;d214c915d215020002006f0021000000b8020000030089fe77fe7dfe83fe01a00000b41e3f0000007cfd945a4f14
22_08_14 23:19:10.747;1117;I;1C;1; 118;2;;670a
22_08_14 23:19:19.626;1110;O;1;4;  2A;0;ERR;
22_08_14 23:19:22.533;1120;I;4;1;DE21;46;;d414f7151212020002007e001a0000001e000000000089fe7dfe83fe89fe01a00000c41e4a00000086fd945a4f14
22_08_14 23:19:33.016;1119;O;1;4;  2A;0;ERR;
22_08_14 23:19:38.082;1122;O;1;4;  2A;0;ERR;
22_08_14 23:19:41.032;1125;I;4;1;DE21;46;;881416057e10b5003f0492007600000032000000000096fe83fe89fe90fe01a00000c81e640000009efd945a4f14
22_08_14 23:20:05.055;1126;I;2;1;4216;66;;9c02d104390514029204bc04e9ff00001d0000000000fdfffdfffdfffdff01200000bc1e7c0000002083f9624f140b09ff7e2004d30e2183f962780000001e00d81e
22_08_14 23:21:05.078;1127;I;2;1;4216;66;;93009903a103430042034603ecff00001f0000000000fdfffdfffdfffdff01200000b81e9a0000003e83f9624f140a08ff802005d30e3f83f962960000001e00d81e
