Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
22_08_10 07:12:43.328;0;O;1;4;  2A;0;ERR;
22_08_10 07:12:50.937;363;I;2;1;4216;66;;1b15c1145f1502000100a6003f0000001e0000000000fcfffcfffcfffcff00200000cc1e155401006f5af3624c0c070563802007ca0e6f5af362ba5301001e00f41e
22_08_10 07:12:51.162;362;O;1;4;  2A;0;ERR;
22_08_10 07:12:54.022;366;I;4;1;DE21;46;;b414db0bb3159600d60000005100000033000000000032fe38fe3efe1ffe00200000cc1e19540100784e965a4c0c
22_08_10 07:12:57.478;0;O;1;4;  2B;0;ERR;
22_08_10 07:13:01.670;368;O;1;4;  2B;0;ERR;
22_08_10 07:13:04.570;371;I;4;1;DE22;34;;2c0178ec401fc4096400dc05b80ba00f941104000200e80300000100000001003503
22_08_10 07:13:06.218;0;O;1;2;421D;0;ERR;
22_08_10 07:13:07.918;374;I;2;1;421E;2;;0ff0
22_08_10 07:13:10.091;0;O;1;2;421F;1;ERR;0e
22_08_10 07:13:11.789;377;I;2;1; 118;2;;1f42
22_08_10 07:13:13.633;0;O;1;2;4218;2;ERR;0000
22_08_10 07:13:15.344;380;I;2;1; 118;2;;1842
22_08_10 07:13:18.558;0;O;1;2;4214;0;ERR;
22_08_10 07:13:22.705;382;O;1;2;4214;0;ERR;
22_08_10 07:13:25.612;385;I;2;1;4223;96;;e3952f050000000000000000100000000000000010000000397601005b0b00009422000000000000000000000000000000000000000000000c000000005000000e0000003333333a000000000000000000000000000000000000000000000000
22_08_10 07:13:25.624;386;I;2;1;4228;2;;033f
22_08_10 07:13:27.485;0;O;1;2;4202;0;ERR;
22_08_10 07:13:32.996;388;O;1;2;4202;0;ERR;
22_08_10 07:13:35.896;391;I;2;1;4201;75;;7c5634125098fd1960090000f401d00700001e0052533239530000015232414e46000000000200010000b40005000e96000652384a414800000000000000000088130000409c000000e3e3
22_08_10 07:13:37.983;0;O;1;2;4210;0;ERR;
22_08_10 07:13:43.946;390;O;1;2;4202;0;ERR;
22_08_10 07:13:49.354;393;O;1;2;4210;0;ERR;
22_08_10 07:13:51.193;398;I;2;1;4201;75;;7c5634125098fd1960090000f401d00700001e0052533239530000015232414e46000000000200010000b40005000e96000652384a414800000000000000000088130000409c000000e3e3
22_08_10 07:13:54.693;397;O;1;2;4210;0;ERR;
22_08_10 07:14:03.204;400;O;1;2;4210;0;ERR;
22_08_10 07:14:05.195;403;I;2;1; 118;2;;1042
22_08_10 07:14:07.461;395;O;1;2;4202;0;ERR;
22_08_10 07:14:10.413;406;I;2;1;4201;75;;7c5634125098fd1960090000f401d00700001e0052533239530000015232414e46000000000200010000b40005000e96000652384a414800000000000000000088130000409c000000e3e3
22_08_10 07:14:13.930;0;O;1;2;4213;4;ERR;c55af362
22_08_10 07:14:15.730;409;I;2;1; 118;2;;1342
22_08_10 07:14:17.406;0;O;1;2;4212;4;ERR;00000000
22_08_10 07:14:19.108;412;I;2;1; 118;2;;1242
22_08_10 07:14:20.649;0;O;1;4;  71;4;ERR;01005802
22_08_10 07:14:22.790;414;O;1;4;  71;4;ERR;01005802
22_08_10 07:14:24.594;417;I;4;1;DE24;0;;
22_08_10 07:14:26.045;0;O;1;4;  75;4;ERR;01005802
22_08_10 07:14:27.831;420;I;4;1;DE24;0;;
22_08_10 07:14:29.552;0;O;1;19; A40;0;ERR;
22_08_10 07:14:31.855;422;O;1;19; A40;0;ERR;
22_08_10 07:14:34.807;425;I;9;1; B13;6;;96240ac7f90e
22_08_10 07:14:34.814;426;I;9;1; B14;6;;7f5d4bc6f90e
22_08_10 07:14:34.814;427;I;9;1; B15;6;;23010346ff0e
22_08_10 07:14:35.397;424;O;1;19; A40;0;ERR;
22_08_10 07:14:38.364;430;I;9;1; B13;6;;9bba0fc7fa31
22_08_10 07:14:38.373;431;I;9;1; B14;6;;fc9d87c5fa31
22_08_10 07:14:38.373;432;I;9;1; B15;6;;061383c4ff31
22_08_10 07:14:44.218;0;O;1;19;  9E;1;ERR;03
22_08_10 07:14:47.118;434;O;1;19;  9E;1;ERR;03
22_08_10 07:14:49.707;436;O;1;19;  9E;1;ERR;03
22_08_10 07:14:54.619;438;O;1;19;  9E;1;ERR;03
22_08_10 07:14:57.510;441;I;19;1; 118;2;;9e00
22_08_10 07:14:57.522;442;I;9;1; B13;6;;45fe25c60101
22_08_10 07:14:57.522;443;I;9;1; B14;6;;5fba1e460101
22_08_10 07:14:57.522;444;I;9;1; B15;6;;9ed71fc70101
22_08_10 07:14:59.888;429;O;1;19; A40;0;ERR;
22_08_10 07:15:02.852;447;I;9;1; B10;6;;c7550940fa20
22_08_10 07:15:02.864;448;I;9;1; B11;6;;4595993ffa20
22_08_10 07:15:02.864;449;I;9;1; B12;6;;a1bf2040fa20
22_08_10 07:15:02.864;450;I;9;1; B13;6;;9e0a9a45fa20
22_08_10 07:15:02.864;451;I;9;1; B14;6;;d3980344fa20
22_08_10 07:15:02.864;452;I;9;1; B15;6;;c12f34c7ff20
22_08_10 07:15:02.864;453;I;9;1; B13;6;;0bab09c50101
22_08_10 07:15:02.864;454;I;9;1; B14;6;;9cc53f440101
22_08_10 07:15:02.864;455;I;9;1; B15;6;;17f230c70101
22_08_10 07:15:04.468;446;O;1;19; A40;0;ERR;
22_08_10 07:15:07.399;458;I;9;1; B10;6;;3e930e40fa4d
22_08_10 07:15:07.422;459;I;9;1; B11;6;;d2802c3ffa4d
22_08_10 07:15:07.422;460;I;9;1; B12;6;;092f2540fa4d
22_08_10 07:15:07.422;461;I;9;1; B13;6;;4ec8f645fa4d
22_08_10 07:15:07.422;462;I;9;1; B14;6;;913f2dc6fa4d
22_08_10 07:15:07.422;463;I;9;1; B15;6;;775b33c7ff4d
22_08_10 07:15:07.422;464;I;9;1; B13;6;;7124e2430101
22_08_10 07:15:07.422;465;I;9;1; B14;6;;d69d1ac60101
22_08_10 07:15:07.422;466;I;9;1; B15;6;;8d7a32c70101
22_08_10 07:15:08.679;365;O;1;4;  2A;0;ERR;
22_08_10 07:15:11.542;469;I;4;1;DE21;46;;a414c215de1402000100ee0047000c002e00000000007dfe83fe89fe77fe00300400d01ea3540100004f965a4c0c
22_08_10 07:15:13.230;0;O;1;4;  49;0;ERR;
22_08_10 07:15:14.988;472;I;4;1;DE24;0;;
22_08_10 07:15:16.544;0;O;1;4;  41;0;ERR;
22_08_10 07:15:18.306;475;I;4;1;DE24;0;;
22_08_10 07:15:20.978;0;O;1;4;  6F;0;ERR;
22_08_10 07:15:26.031;477;O;1;4;  6F;0;ERR;
22_08_10 07:15:27.816;480;I;4;1;DE24;0;;
22_08_10 07:15:28.382;479;O;1;4;  6F;0;ERR;
22_08_10 07:15:30.210;483;I;4;1;DE24;0;;
22_08_10 07:15:30.792;468;O;1;4;  2A;0;ERR;
22_08_10 07:15:33.729;486;I;4;1;DE21;46;;eb1456157a1402000100e4004600000033000000000089fe90fe96fe83fe00200000d01eba540100164f965a4c0c
22_08_10 07:15:36.282;0;O;1;2;4215;0;ERR;
22_08_10 07:15:39.149;489;I;2;1;4216;66;;f61410153a1402000200e900470000002e0000000000fdfffdfffdfffdff00200000d01ec0540100165bf3624c0c0f096c6c2004ca0e175bf362615401001e00f81e
22_08_10 07:15:41.281;488;O;1;2;4215;0;ERR;
22_08_10 07:15:44.246;492;I;2;1;4216;66;;f414dd149812020001000b014c0000002e0000000000fdfffdfffdfffdff00200000cc1ec55401001b5bf3624c0c0f0a6c6e2004ca0e1c5bf362665401003100f41e
22_08_10 07:15:47.511;491;O;1;2;4215;0;ERR;
22_08_10 07:15:50.459;494;O;1;2;4215;0;ERR;
22_08_10 07:15:52.658;496;O;1;2;4215;0;ERR;
22_08_10 07:15:55.530;498;O;1;2;4215;0;ERR;
22_08_10 07:16:03.393;500;O;1;2;4215;0;ERR;
22_08_10 07:16:06.253;503;I;2;1;4216;66;;6b148315571402000100ef004a000000310000000000fdfffdfffdfffdff00200000d01edb540100315bf3624c0c0d0a736f2004ca0e325bf3627c5401001e00f81e
22_08_10 07:16:11.929;502;O;1;2;4215;0;ERR;
22_08_10 07:16:14.894;506;I;2;1;4216;66;;76147715af1102000200260151000000320000000000fdfffdfffdfffdff00200000cc1ee45401003a5bf3624c0c0e0a6f6f2004ca0e3b5bf362855401001e00f41e
22_08_10 07:16:17.694;505;O;1;2;4215;0;ERR;
22_08_10 07:16:20.693;509;I;2;1;4216;66;;0315591528150200010084002e0000001e0000000000fdfffdfffdfffdff00200000d01ee95401003f5bf3624c0c0e0a6f812004ca0e405bf3628a5401001e00f81e
22_08_10 07:16:22.570;510;I;2;1;4216;66;;d011c412a4110101f603990326010000c50202000000fdfffdfffdfffdff00200000b01eeb540100415bf3624c0c110a6b7d2004ca0e415bf3628c540100db02981e
22_08_10 07:16:23.715;508;O;1;2;4215;0;ERR;
22_08_10 07:16:26.690;513;I;2;1;4216;66;;52150915681502000100a900400000001f0000000000fdfffdfffdfffdff00200000d01eef540100455bf3624c0c100a6b692004ca0e465bf362905401001e00f81e
22_08_10 07:16:28.547;512;O;1;2;4215;0;ERR;
