Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
22_08_10 20:02:08.718;605;O;1;4;  2A;0;ERR;
22_08_10 20:02:13.428;606;I;2;1;4216;66;;4f1331151e1400000200da003f000000320000000000020003000300030000200000dc1ecd070200bf0ef462120c0e0b617c22193a0ec00ef4624207020024000c1f
22_08_10 20:02:14.635;608;O;1;4;  2B;0;ERR;
22_08_10 20:02:17.473;609;I;4;1;DE22;34;;2c0178ec401fc4096400dc05b80ba00f941104000200e80300000000000001003503
22_08_10 20:02:18.370;611;O;1;4;  2A;0;ERR;
22_08_10 20:02:21.221;612;I;4;1;DE21;46;;97146115f61300000100b700280000003700000000001901320138015e0100200000f81ed8070200b100975a120c
22_08_10 20:02:21.584;614;O;1;2;421D;0;ERR;
22_08_10 20:02:27.407;616;O;1;2;421F;1;ERR;0e
22_08_10 20:02:30.853;618;O;1;2;421F;1;ERR;0e
22_08_10 20:02:34.097;620;O;1;2;421F;1;ERR;0e
22_08_10 20:03:06.150;0;O;1;2;4213;4;ERR;fa0ef462
22_08_10 20:03:09.632;622;O;1;2;4213;4;ERR;fd0ef462
22_08_10 20:03:11.290;625;I;2;1; 118;2;;1342
22_08_10 20:03:13.289;0;O;1;2;  31;110;ERR;09000b0ff46231000100040000000d0ff4622a000100040000000f0ff4623400010004000000110ff4622a00010004000000130ff4622a00010004000000231df4623200010004000000251df4622a000100040000002a1df46235000100040000002c1df4622a00010004000000
22_08_10 20:03:16.186;628;I;2;1; 118;2;;30f0
22_08_10 20:03:25.304;629;I;4;1;DE24;0;;
22_08_10 20:03:28.472;630;I;4;1;DE21;46;;8b15fa145514020001004b02460000001a000000000083ff64ff71ff71ff14200000d01eb80802008e01975a4c0c
22_08_10 20:03:29.302;631;I;4;1;DE24;0;;
22_08_10 20:03:32.500;632;I;4;1;DE21;46;;78152a121715020001003502460000001e000000000083ff64ff71ff71ff3c200000cc1ebd0802009201975a4c0c
22_08_10 20:03:37.804;633;I;4;1;DE21;46;;d6125305a7127101b3046304c20100001e000000000083ff6aff71ff77ff3c2000006c1ec00802009401975a4c0c
22_08_10 20:03:50.595;0;O;1;4;  71;4;ERR;01005802
22_08_10 20:03:52.351;636;I;4;1;DE24;0;;
22_08_10 20:03:53.543;637;I;2;1;4216;66;;50155b1524150200010040024c0000001d0000000000ffffffffffffffff3c200000cc1ec3080200150ff4624c0c0e09ff7e2005ca0e160ff462320802001e00f41e
22_08_10 20:03:53.667;0;O;1;4;  75;4;ERR;01005802
22_08_10 20:03:55.423;640;I;4;1;DE24;0;;
22_08_10 20:03:56.740;0;O;1;19;  9E;1;ERR;01
22_08_10 20:04:00.365;642;O;1;19;  9E;1;ERR;01
22_08_10 20:04:02.089;645;I;19;1; 118;2;;9e00
22_08_10 20:04:03.177;0;O;1;19; A40;0;ERR;
22_08_10 20:04:05.994;647;O;1;19; A40;0;ERR;
22_08_10 20:04:08.791;649;O;1;19; A40;0;ERR;
22_08_10 20:04:11.514;651;O;1;19; A40;0;ERR;
22_08_10 20:04:14.335;653;O;1;19; A40;0;ERR;
22_08_10 20:04:17.252;656;I;9;1; B10;6;;e21bd3bdfd17
22_08_10 20:04:17.259;657;I;9;1; B11;6;;40c25f40fd17
22_08_10 20:04:17.259;658;I;9;1; B12;6;;3ff74d40fd17
22_08_10 20:04:17.259;659;I;9;1; B13;6;;fe4823470101
22_08_10 20:04:17.259;660;I;9;1; B14;6;;7518b8c60101
22_08_10 20:04:17.259;661;I;9;1; B15;6;;bacd40c60101
22_08_10 20:04:18.550;655;O;1;19; A40;0;ERR;
22_08_10 20:04:21.414;664;I;9;1; B10;6;;9a7c063ffd17
22_08_10 20:04:21.420;665;I;9;1; B11;6;;9e675540fd17
22_08_10 20:04:21.420;666;I;9;1; B12;6;;0b214740fd17
22_08_10 20:04:21.420;667;I;9;1; B13;6;;ab0114470101
22_08_10 20:04:21.420;668;I;9;1; B14;6;;018003c70101
22_08_10 20:04:21.420;669;I;9;1; B15;6;;bdda22c50101
22_08_10 20:04:22.379;663;O;1;19; A40;0;ERR;
22_08_10 20:04:26.533;644;O;1;19;  9E;1;ERR;02
22_08_10 20:04:30.966;673;O;1;19;  9E;1;ERR;02
22_08_10 20:04:35.258;675;O;1;19;  9E;1;ERR;02
22_08_10 20:04:38.648;677;O;1;19;  9E;1;ERR;02
22_08_10 20:04:38.686;678;I;19;1; 118;2;;9e00
22_08_10 20:04:40.358;681;I;19;1; 118;2;;9e00
22_08_10 20:04:41.018;671;O;1;19; A40;0;ERR;
22_08_10 20:04:45.599;683;O;1;19; A40;0;ERR;
22_08_10 20:04:46.582;686;I;1;19; A40;0;;
22_08_10 20:04:49.823;686;O;1;19; A40;0;ERR;
22_08_10 20:04:50.824;689;I;1;19; A40;0;;
22_08_10 20:04:54.370;689;O;1;19; A40;0;ERR;
22_08_10 20:04:55.343;692;I;1;19; A40;0;;
